草药名称,中文名,植物学名,简要描述,成分构成,推荐剂量,功效分类,使用建议,安全性等级,注意事项,中医体质匹配,参考链接
"Hamamelidis folium","Hamamelidis folium(待翻译)","Witch Hazel","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Skin disorders and wound healing"
"Hamamelidis cortex","Hamamelidis cortex(待翻译)","Witch Hazel Bark","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Skin disorders and wound healing"
"Altheae radix","Altheae radix(待翻译)","Marshmallow Root","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Cough and throat disorders"
"Theae folium","Theae folium(待翻译)","Black Tea","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Skin disorders and wound healing"
"Theae folium viride","Theae folium viride(待翻译)","Green Tea","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Metabolic disorders"
"Arnicae herba","Arnicae herba(待翻译)","Arnica Herb","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Pain and inflammation"
"Altheae herba","Altheae herba(待翻译)","Marshmallow Herb","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Cough and throat disorders"
"Hyperici herba","Hyperici herba(待翻译)","St. John's Wort","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Mental and nervous disorders"
"Violae tricoloris herba","Violae tricoloris herba(待翻译)","Heartsease","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Skin disorders and cosmetics"
"Sambuci flos","Sambuci flos(待翻译)","Elder Flower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Respiratory disorders"
"Passiflorae herba","Passiflorae herba(待翻译)","Passion Flower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Sleep disorders and insomnia"
"Ericae herba","Ericae herba(待翻译)","Heather","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Urinary tract and genital disorders"
"Urticae radix","Urticae radix(待翻译)","Nettle Root","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Urinary tract and genital disorders"
"Urticae herba","Urticae herba(待翻译)","Nettle Herb","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Pain and inflammation"
"Centaurii herba","Centaurii herba(待翻译)","Centaury","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Betulae folium","Betulae folium(待翻译)","Birch Leaf","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Urinary tract and genital disorders"
"Plantaginis lanceolatae herba","Plantaginis lanceolatae herba(待翻译)","Ribwort Plantain","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Cough and throat disorders"
"Hyperici herba","Hyperici herba(待翻译)","St. John's Wort","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Pain and inflammation"
"Calendulae flos","Calendulae flos(待翻译)","Calendula Flower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Skin disorders and wound healing"
"Salviae officinalis folium","Salviae officinalis folium(待翻译)","Sage Leaf","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Cardui mariae fructus","Cardui mariae fructus(待翻译)","Milk Thistle Fruit","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Liver disorders"
"Anisi stellati fructus","Anisi stellati fructus(待翻译)","Star Anise","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Cough and throat disorders"
"Rosae caninae fructus","Rosae caninae fructus(待翻译)","Rose Hip","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Immune disorders"
"Angelicae radix","Angelicae radix(待翻译)","Angelica Root","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Passiflorae herba","Passiflorae herba(待翻译)","Passion Flower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Mental and nervous disorders"
"Plantaginis ovatae testa","Plantaginis ovatae testa(待翻译)","Psyllium Husk","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Hippocastani semen","Hippocastani semen(待翻译)","Horse Chestnut Seed","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Cardiovascular disorders"
"Echinacea purpurea herba","Echinacea purpurea herba(待翻译)","Purple Coneflower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Immune disorders"
"Matricariae flos","Matricariae flos(待翻译)","Chamomile Flower","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Sennae folium","Sennae folium(待翻译)","Senna Leaf","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Echinaceae angustifoliae radix","Echinaceae angustifoliae radix(待翻译)","Narrow-leafed Coneflower Root","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Immune disorders"
"Echinaceae purpureae radix","Echinaceae purpureae radix(待翻译)","Purple Coneflower Root","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Immune disorders"
"Foeniculi dulcis fructus","Foeniculi dulcis fructus(待翻译)","Fennel Fruit","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Foeniculi vulgaris fructus","Foeniculi vulgaris fructus(待翻译)","Bitter Fennel Fruit","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Digestive disorders and gastrointestinal disorders"
"Valerianae radix","Valerianae radix(待翻译)","Valerian Root","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Sleep disorders and insomnia"
"Myrrha","Myrrha(待翻译)","Myrrh","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Pain and inflammation"
"Ginkgo folium","Ginkgo folium(待翻译)","Ginkgo Leaf","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Cognitive disorders"
"Melissae folium","Melissae folium(待翻译)","Lemon Balm","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Sleep disorders and insomnia"
"Sojae oleum raffinatum","Sojae oleum raffinatum(待翻译)","Refined Soy Oil","调理身体、增进健康","天然活性成分、植物多糖、黄酮类化合物","每日 200-500mg（请遵循产品标签）","保健养生,体质调理","餐后服用，请遵循医嘱","中","孕妇慎用，过敏体质注意，请咨询专业医生","平和体质","Skin disorders and cosmetics"
